iteration,mechanism,missing_rate,method,outcome,bias,mse,covered,n_effective
25,MCAR,0.3,Complete Case,1,-0.043903181693400906,0.0019274893628037724,1,14
26,MCAR,0.3,Complete Case,0,-0.29047475567261094,0.08437558368306303,0,12
26,MCAR,0.3,Complete Case,1,-0.02128583178060034,0.00045308663459201544,1,12
27,MCAR,0.3,Complete Case,0,0.07768082665696185,0.006034310830108956,1,14
27,MCAR,0.3,Complete Case,1,0.19444360849637993,0.03780831688509347,1,14
28,MCAR,0.3,Complete Case,0,0.13960993663943733,0.019490934408467706,1,15
28,MCAR,0.3,Complete Case,1,0.22603289191832282,0.0510908682289602,1,15
29,MCAR,0.3,Complete Case,0,-0.011643260597675786,0.00013556551734538952,1,14
29,MCAR,0.3,Complete Case,1,-0.03879755023818565,0.0015052499044845395,1,14
30,MCAR,0.3,Complete Case,0,-0.04405311652352778,0.0019406770754355164,1,13
30,MCAR,0.3,Complete Case,1,-0.09239140493106537,0.00853617170513609,1,13
31,MCAR,0.3,Complete Case,0,0.08122580441173521,0.0065976313023334635,1,14
31,MCAR,0.3,Complete Case,1,-0.11611247252281784,0.013482106275362128,1,14
32,MCAR,0.3,Complete Case,0,-0.11534954646994883,0.013305517870822884,1,13
32,MCAR,0.3,Complete Case,1,-0.14759542713254628,0.02178441011043878,1,13
33,MCAR,0.3,Complete Case,0,-0.007992480929918833,6.387975141511621e-05,1,15
33,MCAR,0.3,Complete Case,1,-0.02287397744731351,0.0005232188442602071,1,15
34,MCAR,0.3,Complete Case,0,-0.027292100482921855,0.0007448587487699033,1,15
34,MCAR,0.3,Complete Case,1,-0.19459326530101656,0.037866538900511816,0,15
35,MCAR,0.3,Complete Case,0,-0.0450421022086962,0.002028790971378635,1,14
35,MCAR,0.3,Complete Case,1,0.06564116856523272,0.004308763010609297,1,14
36,MCAR,0.3,Complete Case,0,0.07431792971617901,0.005523154677298923,1,15
36,MCAR,0.3,Complete Case,1,-0.1410398568319371,0.01989224121517331,1,15
37,MCAR,0.3,Complete Case,0,0.03384691770811432,0.0011456138383398628,1,15
37,MCAR,0.3,Complete Case,1,-0.06027041251832577,0.0036325226251291594,1,15
38,MCAR,0.3,Complete Case,0,0.060779683893232184,0.0036941699741612276,1,16
38,MCAR,0.3,Complete Case,1,-0.22639583041230635,0.051255072028077775,0,16
39,MCAR,0.3,Complete Case,0,0.03335526013806733,0.0011125733788781436,1,15
39,MCAR,0.3,Complete Case,1,-0.0469113411949571,0.0022006739327096792,1,15
40,MCAR,0.3,Complete Case,0,0.09127066558525276,0.008330334396375044,1,16
40,MCAR,0.3,Complete Case,1,-0.0836142529641333,0.006991343298750075,1,16
41,MCAR,0.3,Complete Case,0,0.15335263822065504,0.023517031649235107,1,17
41,MCAR,0.3,Complete Case,1,0.22764375487340166,0.051821679132861384,1,17
42,MCAR,0.3,Complete Case,0,-0.005922443643351427,3.5075338708673724e-05,1,15
42,MCAR,0.3,Complete Case,1,-0.04880726875916952,0.002382149483729805,1,15
43,MCAR,0.3,Complete Case,0,-0.06120588141674427,0.003746159920000561,1,15
43,MCAR,0.3,Complete Case,1,-0.025321571597289094,0.0006411819881566378,1,15
44,MCAR,0.3,Complete Case,0,0.21241981913892172,0.04512217956301221,1,15
44,MCAR,0.3,Complete Case,1,-0.18143803257621383,0.03291975966512723,1,15
45,MCAR,0.3,Complete Case,0,0.11492692618063627,0.013208198361329419,1,17
45,MCAR,0.3,Complete Case,1,-0.058434163860843824,0.0034145515061159465,1,17
46,MCAR,0.3,Complete Case,0,-0.017371503933537258,0.0003017691489129004,1,14
46,MCAR,0.3,Complete Case,1,0.08591203116403473,0.0073808770987300746,1,14
47,MCAR,0.3,Complete Case,0,0.11326586322598897,0.01282915577232844,1,15
47,MCAR,0.3,Complete Case,1,0.014271481352168158,0.0002036751799852835,1,15
48,MCAR,0.3,Complete Case,0,-0.03688058201631539,0.001360177329862166,1,12
48,MCAR,0.3,Complete Case,1,-0.08109338048803374,0.006576136358977012,1,12
49,MCAR,0.3,Complete Case,0,0.14796527089894618,0.02189372139219853,1,14
49,MCAR,0.3,Complete Case,1,0.15160754655883463,0.022984848173589208,1,14
50,MCAR,0.3,Complete Case,0,0.04251339854119107,0.0018073890555221472,1,15
